Card Name;quantity;Card Set;Card Number
Tornadus EX;1;Dark Explorers;90
Lugia EX;1;Ancient Origins;68
Latios EX;1;Roaring Skies;58
Glalie EX;1;Breakthrough;34
Groudon;1;Primal Clash;85
Raikou EX;1;Dark Explorers;38
Primal Groudon EX;2;Primal Clash;86
M Gardevoir EX;1;Radient Collection;RC31
M Steelix EX;1;Steam Siege;68
M Mewtwo EX;1;Breakthrough;64
M Rayquazza EX;1;Roaring Skies;76
M Audino EX;1;Fates Collide;85
M Manetric EX;1;Phantom Forces;24
M Ampharos EX;1;Ancient Origins;28
M Altaria EX;1;Fates Collide;69
M Aggron EX;1;Primal Clash;94
M Latios EX;1;Roaring Skies;59
M Charizard EX;2;Evolutions;13
M Sceptile EX;2;Ancient Origins;8
Giratina EX;2;Dragons Exhalted;92
Landorus EX;2;Boundaries Crossed;144
Darkrai EX;1;Legendary Treasures;88
Darkrai EX;1;Promo;BW46
Meloetta EX;2;Radient Collection;RC11
Meloetta EX;1;Radient Collection;RC25
M Mawile EX;1;Promo;XY104
Steelix EX;2;Steam Siege;67
Venasur EX;1;Promo;XY28
White Kyurem;1;Legendary Treasures;101
Zygarde EX;1;Promo;XY 151
Togekiss;1;Breakpoint;83
Magearna EX;1;Steam Siege;110
Darkrai EX;1;Breakpoint;74
Ho-Oh EX;1;Breakpoint;92
M Galalie EX;1;Breakthrough;156
Florges EX;1;Phantom Forces;67
M Alakazam EX;1;Fates Collide;26
Rayquazza EX;1;Roaring Skies;60
Gallade EX;1;Roaring Skies;34
Rayquazza EX;1;Roaring Skies;75
Toxicroak EX;1;Flashfire;41
M Blastoise EX;1;Evolutions;22
Slowbro EX;1;Evolutions;26
Machamp Break;3;;
Greninja Break;1;;
Marowak Break;1;;
Yanmega Break;1;;
Noivern Break;1;;
Zoroark Break;2;;
Talonflame Break;1;;
Florges Break;1;;
Luxray Break;1;;
Charmander Shiny;1;Hidden Fates;SV6
Clawirzer Break;1;;
Xerneas Break;1;;
Ninetails Break;1;;
Chesnaught Break;1;;
Here comes Team Rocket Secret Rare;1;Evolutions;113
Surfing Pikachu Secret Rare;1;Evolutions;111
Exeggutor Secret Rare;3;Evolutions;109
Charizad Cracked Ice;1;Vivid Voltage;25
Charizard reverse;2;Vivid Voltage;25
Charizard;4;Vivid Voltage;25
Charizard Vivid Voltage Promo;1;SWSH Promo;66
Rayquazza Amazing Rare;2;Vivid Voltage;138
Celebi Amazing Rare;2;Vivid Voltage;9
Zamazenta Amazing Rare;2;Vivid Voltage;102
Jirachi Amazing Rare;3;Vivid Voltage;119
Kyogre Amazing Rare;4;Shining Fates;21
Yveltal Amazing Rare;2;Shining Fates;46
Zacian Amazing Rare;1;Vivid Voltage;82
Raikou Amazing Rare;2;Vivid Voltage;50
Reshiram Amazing Rare;2;Shining Fates;17
Reshiram Amazing Rare Japanese;1;s4a;21
Celebi Amazing Rare Japanese;1;s3a;9
Lugia Vivid Voltage Promo;1;SWSH Promo;69
Japanese Full art Shiny v;1;s4a;316
Donphan Vivid Voltage Promo;1;SWSH Promo;67
Umbreon Prime;2;Undaunted;86
Steelix Prime;1;Unleashed;87
Crobat prime;1;Unleashed;84
Tyranitar Prime;1;Unleased ;88
Blissey Prime;1;Heart Gold Soul Silver;106
Meganium Prime;1;Heart Gold Soul Silver;109
Feraligatr Prime;1;Heart Gold Soul Silver;108
Feraligatr Prime;1;Promo;7
Raikou Shiny;1;Promo;19
Groudon Shiny;2;Call of Legends;4
Rayquazza Shiny;1;Call of Legends;10
Palkia Shiny;1;Call of Legends;8
Suicune Shiny;1;Promo;21
Arceus AR1;1;Arceus;AR1
Arceus AR2;1;Arceus;AR2
Arceus AR3;1;Arceus;AR3
Arceus AR4;3;Arceus;AR4
Arceus AR5;1;Arceus;AR5
Arceus AR6;2;Arceus;AR6
Arceus AR7;1;Arceus;AR7
Arceus AR8;1;Arceus;AR8
Arceus AR9;1;Arceus;AR9
Arceus;1;Promo;50
Kyogre Ground Legend Top;1;Undaunted ;87
Kyogre Ground Legend Bottom;1;Undaunted ;88
Raikou Entei Legend Top;1;Unleashed;90
Raikou Entei Legend Bottom;1;Unleashed;91
Lugia Legend Top;1;Heart Gold Soul Silver;113
Lugia Legend Bottom;1;Heart Gold Soul Silver;114
Rayquaza Deoxys Legend Top;2;Undaunted ;89
Rayquaza Deoxys Legend Bottom;1;Undaunted ;90
Ho-oh Legend Top;1;Heart Gold Soul Silver;111
Ho-oh Legend Bottom;1;Heart Gold Soul Silver;112
Palkia Dialga Legend Top;1;Triumphant;101
Palkia Dialga Legend Bottom;1;Triumphant;102
Raikou Suicune Legend Top;1;Unleashed;92
Raikou Suicune Legend Bottom;1;Unleashed;93
Suicune Entei Legend Top;1;Unleashed;94
Suicune Entei Legend Bottom;1;Unleashed;95
Darkrai Cresselia Legend Top;1;Triumphant;99
Darkrai Cresselia Legend Bottom;1;Triumphant;100
Zamazenta Amazing Rare Japanese;1;s3a;44
Groudon Gold Star;1;Delta Species;111
Entei Gold Star;1;Unseen Forces;113
Shining Charizard;1;Neo Destiny;107
Shining Magikarp;1;Neo Revelation;66
Shining Gyarados;1;Neo Revelation;65
Shining Celebi;1;Neo Destiny;106
Articuno Secret Rare;2;Supreme Victors;148
Birthday Pikachu;1;Promo;24
Flying Pikachu;1;Promo;25
Surfing Pikachu;1;Promo;28
Ancient Mew;3;Promo;N/A
Jamming Net ;2;Phantom Forces;98
Head Ringer;1;Phantom Forces;97
Yanma Shiny;1;Supreme Victors;Sh9
Milotic Shiny;1;Supreme Victors;Sh7
Bagon Shiny;1;Arceus;sh10
Kyurem Holo Secret Rare;1;Dragon Vault;21
Shining Mew;1;Shining Legends;40
Shining Jirachi;1;Shining Legends;42
Scoop Up Cyclone;1;Plasma Blast;95
Time Space Distortion;1;Mysterious Treasures;124
Leaf Energy Secret Rare;1;SM17a;202
Psychic Energy Secret Rare;1;SM17a;206
Scyther Secret Rare;1;Platinum;130
Frost Rotom;1;Rising Rivals;RT2
Dartrix Shiny Japanese;2;sm8b;163
Rockruff Shiny;1;Hidden Fates;SV23
Magneton Shiny;2;Hidden Fates;SV28
Rockruff Shiny Japanese;1;sm8b;183
Wimpod Shiny;1;Hidden Fates;Sv4
Gible Shiny;1;Hidden Fates;SV38
Gible Shiny Japanese;1;sM8b;198
Pheromosa Shiny ;1;Hidden Fates;SV5
Guzzlord Shiny;1;Hidden Fates;SV 26
Buzzwole Shiny;1;Hidden Fates;SV 24 
Seviper Shiny;1;Hidden Fates;SV15
Ralts Shiny;1;Hidden Fates;SV34
Frogadier Shiny;1;Hidden Fates;SV12
Beldum Shiny Japanese;1;sm8b;190
Noibat Shiny;1;Hidden Fates;SV43
Altaria Shiny;1;Hidden Fates;SV37
Poipole Shiny;1;Hidden Fates;SV19
Riolu Shiny;1;Hidden Fates;SV21
Kartana Shiny;1;Hidden Fates;SV33
Rowlet Shiny;2;Hidden Fates;SV2
Garchomp Shiny;1;Hidden Fates;SV40
Eevee Shiny;1;Hidden Fates;SV41
Zorua Shiny;1;Hidden Fates;SV25
Scyther Shiny;1;Hidden Fates;SV1
Rowlet Shiny Japanese;1;Shiny Star V;200
Galarian Zigzagoon Japanese;1;Shiny Star V;277
Stonjourner Shiny Japanese;1;Shiny Star V;274
Coalossal Shiny;2;Shining Fates;SV069
Galarian Farfetch'd Shiny;1;Shining Fates;SV063
Galarian Zigzagoon Shiny;2;Shining Fates;SV078
Rotom Shiny;1;Shining Fates;SV038
Impidimp Shiny;1;Shining Fates;SV083
Toxel Shiny;1;Shining Fates;SV041
Scorbunny Shiny;2;Shining Fates;SV015
Rolycoly Shiny;1;Shining Fates;SV067
Dragapult Shiny;1;Shining Fates;SV062
Dedenne Shiny;1;Shining Fates;SV051
Arctovish Shiny;1;Shining Fates;SV037
Arctozolt Shiny;1;Shining Fates;SV046
Stonjourner Shiny ;1;Shining Fates;SV075
Grookey Shiny ;3;Shining Fates;SV004
Minccino Shiny;1;Shining Fates;SV093
Galarian Perrserker Shiny;2;Shining Fates;SV087
Duraludon Shiny;1;Shining Fates;SV092
Decidueye Shiny;1;Shining Fates;SV003
Centiskortch Shiny;1;Shining Fates;SV019
Falinks Shiny;1;Shining Fates;SV074
Inteleon Shiny;1;Shining Fates;SV027
Galarian Corsola Shiny;1;Shining Fates;SV049
Drakloak Shiny;1;Shining Fates;SV061
Indeedee Shiny;1;Shining Fates;SV059
Morgrem Shiny;1;Shining Fates;SV084
Koffing Shiny ;1;Shining Fates;SV076
Wooloo Shiny ;1;Shining Fates;SV103
Sobble Shiny;2;Shining Fates;SV025
Eldegoss Shiny;1;Shining Fates;SV011
Swanna Shiny;1;Shining Fates;SV096
Galarian Cursola Shiny;1;Shining Fates;SV050
Ash's Pikachu;1;Promo;SM108
Ash's Pikachu;1;Promo;SM109
Ash's Pikachu;1;Promo;SM110
Ash's Pikachu;1;Promo;SM111
Ash's Pikachu;1;Promo;SM112
Ash's Pikachu;1;Promo;SM113
Ash's Pikachu;1;Promo;SM114
Steelix Character Card;2;Cosmic Eclipse;247
Koffing Character Card;1;Cosmic Eclipse;243
Torkoal Character Card;2;Cosmic Eclipse;237
Mimikyu Character Card;1;245;
Wishiwashi Character Card Japanese;1;Cosmic Eclipse;53
Wishiwashi Character Card ;1;Cosmic Eclipse;240
Piplup Character Card;1;Cosmic Eclipse;239
Stoutland Character Card Japanese;2;Cosmic Eclipse;61
Excadrill Character Card Japanese;1;Cosmic Eclipse;59
Pikachu Character Card Japanese;2;Cosmic Eclipse;54
Weavile Character Card;1;Cosmic Eclipse;238
Magnemite Shiny;1;Hidden Fates;SV27
Kirilia Shiny;1;Hidden Fates;Sv35
Snom Shiny;1;Shining Fates;Sv33
Snom Shiny Japanese;1;Shiny Star V;232
Alcremie Vmax ;7;Champions Path;23
Alcremie Vmax Japanese;2;S3a;32
Pikachu Vmax ;3;Vivid Voltage;44
Stonjourner Vmax ;4;SWSH Base Set;116
Gardevoir Vmax ;3;Champions Path;17
Meowth Vmax ;1;SWSH PROMO;5
Ditto Vmax Japanese;1;s4a;141
Rilaboom Vmax Japanese;1;S4a;10
Snorlax Vmax ;1;SWSH Base Set;142
Grimmsnarl Vmax;2;Darkness Ablaze;115
Coalossal Vmax Japanese;2;S3a;43
Salamence Vmax ;1;Darkness Ablaze;144
Centiskorch Vmax ;3;Darkness Ablaze;34
Scizor Vmax ;1;Darkness Ablaze;119
Charizard Vmax;1;Darkness Ablaze;20
Eternatus Vmax ;1;Darkness Ablaze;117
Butterfree Vmax ;2;Darkness Ablaze;2
Lapras Vmax ;1;SWSH Base Set;50
Drednaw Vmax ;2;Champions Path;15
Aegislash Vmax ;2;Vivid Voltage;127
Cinderace Vmax ;3;Shining Fates;19
Dhelmise  Vmax ;1;Shining Fates;10
Cramorant Vmax ;3;Shining Fates;55
Eevee Vmax ;4;Promo;SWSH087
Victini Vmax ;2;Battle Styles;22
Rapid Strike Urshifu Vmax ;3;Battle Styles;88
Flapple Vmax ;2;Battle Styles;19
Tapu Koko Vmax ;1;Battle Styles;51
Single Strike Urshifu Vmax ;2;Battle Styles;86
Corviknight Vmax ;1;Battle Styles;110
Ice Rider Calyrex Vmax ;1;Chilling Reign;46
Metagross Vmax ;3;Chilling Reign;113
Crobat Vmax;1;Shining Fates;45
Sandaconda Vmax ;2;Chilling Reign;90
Blaziken Vmax ;2;Chilling Reign;21
Galarian Slowking Vmax ;2;Chilling Reign;100
Sylvian Vmax Japanese;4;s6a;41
Umbreon Vmax Japanese;2;s6a;48
Leafeon Vmax Japanese;1;s6a;3
Glaceon Vmax Japanese;2;s6a;25
Centiskorch Vmax Shiny;3;Shining Fates;SV109
Lapras Vmax Shiny;1;Shining Fates;SV111
Charizard Vmax Shiny;1;Shining Fates;SV107
Crobat Vmax Shiny;1;Promo;SWSH099
Dragapult Vmax Shiny;3;Promo;SWSH097
Grimmsnarl Vmax Shiny;3;Shining Fates;SV117
Ditto Vmax Shiny;1;Shining Fates;SV119
Rugged Helmet Gold Card;2;Chilling Reign;228
Galarian Rapidash V;1;Chilling Reign;168
Tornadus Vmax;2;Chilling Reign;125
Shadow Rider Calyrex Vmax;1;Chilling Reign;75
Empoleon V;2;Promo;SWSH108
Tyranitar V;2;Promo;SWSH109
Galarian Articuno v;1;Chilling Reign;58
Galarian Slowking v ;2;Chilling Reign;99
Ice Rider Calyrex V;3;Chilling Reign;45
Liepard V;3;Chilling Reign;104
Blaines Charizard Japanese;1;Gym Set;6
Coalossal Vmax ;2;Chilling rReign;99
Galarian Darmanitan;1;Vivid Voltage;169
Houndoom;1;Battle Styles;179
Peony Rainbow Rare;1;Chilling Reign;220
Shadow Rider Calyrex V;1;Chilling Reign;171
Celebi V;2;Chilling Reign;160
Shadow Rider Calyrex Vmax;1;Chilling Reign;205
Galarian Yanmask Crimped Error Card;1;Chilling Reign;82
Celebi V;1;Chilling Reign;7
Celebi Vmax Rainbow Rare;1;Chilling Reign;199
Marnie Full Art;1;Promo;SWSH121
Marnie Signed Trainer;3;Promo;SWSH120
